geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
516342,ru,EU,"Европа",RU,"Россия",SAM,"Самарская область",,,"Обшаровка",,Europe/Samara,0
516421,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Оболдино",,Europe/Moscow,0
516436,ru,EU,"Европа",RU,"Россия",KLU,"Калужская область",,,"Обнинск",,Europe/Moscow,0
516576,ru,EU,"Европа",RU,"Россия",PER,"Пермский край",,,"Нытва",,Asia/Yekaterinburg,0
516579,ru,EU,"Европа",RU,"Россия",UD,"Удмуртия",,,"Ныша",,Europe/Samara,0
516647,ru,EU,"Европа",RU,"Россия",ARK,"Архангельская область",,,"Няндома",,Europe/Moscow,0
516716,ru,EU,"Европа",RU,"Россия",TA,"Татарстан",,,"Нурлат",,Europe/Moscow,0
516730,ru,EU,"Европа",RU,"Россия",DA,"Дагестан",,,"Нурадилово",,Europe/Moscow,0
516931,ru,EU,"Европа",RU,"Россия",BEL,"Белгородская область",,,"Новый Оскол",,Europe/Moscow,0
516935,ru,EU,"Европа",RU,"Россия",YAR,"Ярославская область",,,"Новый Некоуз",,Europe/Moscow,0
517269,ru,EU,"Европа",RU,"Россия",BRY,"Брянская область",,,"Новозыбков",,Europe/Moscow,0
517282,ru,EU,"Европа",RU,"Россия",VOR,"Воронежская область",,,"Новоживотинное",,Europe/Moscow,0
517303,ru,EU,"Европа",RU,"Россия",STA,"Ставропольский край",,,"Новозаведенное",,Europe/Moscow,0
517577,ru,EU,"Европа",RU,"Россия",LEN,"Ленинградская область",,,"Новое Девяткино",,Europe/Moscow,0
517684,ru,EU,"Европа",RU,"Россия",ORE,"Оренбургская область",,,"Новоякупово",,Asia/Yekaterinburg,0
517715,ru,EU,"Европа",RU,"Россия",CHE,"Челябинская",,,"Нововоронинский",,Asia/Yekaterinburg,0
517716,ru,EU,"Европа",RU,"Россия",VOR,"Воронежская область",,,"Нововоронеж",,Europe/Moscow,0
517739,ru,EU,"Европа",RU,"Россия",SAR,"Саратовская область",,,"Новоузенск",,Europe/Saratov,0
517744,ru,EU,"Европа",RU,"Россия",SVE,"Свердловская область",,,"Новоуткинск",,Asia/Yekaterinburg,0
517766,ru,EU,"Европа",RU,"Россия",ULY,"Ульяновская область",,,"Новоульяновск",,Europe/Ulyanovsk,0
517836,ru,EU,"Европа",RU,"Россия",ORE,"Оренбургская область",,,"Новотроицк",,Asia/Yekaterinburg,0
517842,ru,EU,"Европа",RU,"Россия",KDA,"Краснодарский край",,,"Новотитаровская",,Europe/Moscow,0
517963,ru,EU,"Европа",RU,"Россия",ROS,"Ростовская область",,,"Новошахтинск",,Europe/Moscow,0
518255,ru,EU,"Европа",RU,"Россия",KDA,"Краснодарский край",,,"Новороссийск",,Europe/Moscow,0
518346,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Новопетровское",,Europe/Moscow,0
518383,ru,EU,"Европа",RU,"Россия",STA,"Ставропольский край",,,"Новопавловск",,Europe/Moscow,0
518403,ru,EU,"Европа",RU,"Россия",KDA,"Краснодарский край",,,"Новопавловка",,Europe/Moscow,0
518418,ru,EU,"Европа",RU,"Россия",ORE,"Оренбургская область",,,"Новоорск",,Asia/Yekaterinburg,0
518488,ru,EU,"Европа",RU,"Россия",VGG,"Волгоградская область",,,"Новониколаевский",,Europe/Volgograd,0
518490,ru,EU,"Европа",RU,"Россия",ROS,"Ростовская область",,,"Новониколаевский",,Europe/Moscow,0
518540,ru,EU,"Европа",RU,"Россия",KDA,"Краснодарский край",,,"Новомышастовская",,Europe/Moscow,0
518557,ru,EU,"Европа",RU,"Россия",TUL,"Тульская область",,,"Новомосковск",,Europe/Moscow,0
518568,ru,EU,"Европа",RU,"Россия",KDA,"Краснодарский край",,,"Новоминская",,Europe/Moscow,0
518584,ru,EU,"Европа",RU,"Россия",KDA,"Краснодарский край",,,"Новомихайловский",,Europe/Moscow,0
518602,ru,EU,"Европа",RU,"Россия",RYA,"Рязанская область",,,"Новомичуринск",,Europe/Moscow,0
518659,ru,EU,"Европа",RU,"Россия",SAM,"Самарская область",,,"Новокуйбышевск",,Europe/Samara,0
518682,ru,EU,"Европа",RU,"Россия",KDA,"Краснодарский край",,,"Новокубанск",,Europe/Moscow,0
518745,ru,EU,"Европа",RU,"Россия",VOR,"Воронежская область",,,"Новохопёрск",,Europe/Moscow,0
518909,ru,EU,"Европа",RU,"Россия",ARK,"Архангельская область",,,"Новодвинск",,Europe/Moscow,0
